HomeTeam,AwayTeam,Week,Line,Spread
Bryant,New Hampshire,12,New Hampshire -13.0,-13.0
Wilkes,Western Connecticut St,12,Pick'em,0.0
Ithaca College,Cortland,12,Cortland -16.0,-16.0
West Virginia State,University Of Charleston (WV),12,University Of Charleston (WV) -4.0,-4.0
Fairmont State,Frostburg State,12,Frostburg State -15.0,-15.0
West Liberty,Wheeling,12,Wheeling -6.5,-6.5
Bentley,American International,12,Bentley -9.5,9.5
Pace,Franklin Pierce,12,Franklin Pierce -18.5,-18.5
Duquesne,Central Connecticut,12,Duquesne -1.5,1.5
Worcester St,Framingham State,12,Framingham State -11.5,-11.5
UMass Dartmouth,Plymouth State,12,Plymouth State -3.0,-3.0
Bridgewater State,Mass Maritime,12,Pick'em,0.0
Delaware Valley,Widener,12,Delaware Valley -17.5,17.5
FDU-Florham,Reading,12,FDU-Florham -1.5,1.5
West Chester,Assumption,12,Assumption -10.0,-10.0
Bloomsburg,Slippery Rock,12,Slippery Rock -20.5,-20.5
Worcester Polytechnic Institute,Salve Regina,12,Salve Regina -17.0,-17.0
Endicott College,Curry College,12,Endicott College -20.0,20.0
Walsh,Northwood (MI),12,Northwood (MI) -10.5,-10.5
Northwestern (MN),Westminster College (MO),12,Northwestern (MN) -9.5,9.5
Coast Guard,Merchant Marine Academy,12,Pick'em,0.0
Ursinus,Carnegie Mellon,12,Carnegie Mellon -17.5,-17.5
Otterbein,Ohio Northern,12,Ohio Northern -35.0,-35.0
Fitchburg State,Westfield State,12,Fitchburg State -1.0,1.0
Misericordia,Kings College (PA),12,Misericordia -5.5,5.5
Albright,Lebanon Valley,12,Lebanon Valley -10.0,-10.0
Biddeford,New England College,12,Biddeford -51.5,51.5
Shepherd,Seton Hill,12,Shepherd -9.5,9.5
Norfolk State,Morgan State,12,Morgan State -6.0,-6.0
Murray State,North Dakota,12,North Dakota -33.5,-33.5
Western Carolina,East Tennessee State,12,East Tennessee State -0.5,-0.5
Moravian,Susquehanna,12,Susquehanna -36.0,-36.0
McDaniel College,Gettysburg,12,Gettysburg -2.0,-2.0
Lake Forest College,Chicago,12,Chicago -6.0,-6.0
Lawrence University,Ripon,12,Ripon -14.5,-14.5
Saint John's (MN),St. Olaf,12,Saint John's (MN) -30.5,30.5
Gustavus Adolphus,Macalester,12,Gustavus Adolphus -10.5,10.5
Carleton,Concordia Moorhead,12,Carleton -8.0,8.0
Augsburg,Hamline University,12,Augsburg -26.0,26.0
William Paterson,Montclair State,12,Montclair State -6.0,-6.0
Springfield,SUNY Maritime,12,Springfield -13.0,13.0
Stevenson,Eastern University,12,Eastern University -5.5,-5.5
St. Lawrence,University of Rochester (NY),12,University of Rochester (NY) -17.5,-17.5
Greenville,Crown College,12,Crown College -5.5,-5.5
Muhlenberg,Dickinson (PA),12,Muhlenberg -13.0,13.0
Western New England,Nichols College,12,Western New England -18.5,18.5
Washington & Jefferson,Thiel,12,Washington & Jefferson -43.0,43.0
Saint Vincent,Westminster (PA),12,Westminster (PA) -27.5,-27.5
Allegheny,Bethany (WV),12,Allegheny -22.5,22.5
Shenandoah,Washington and Lee,12,Washington and Lee -2.5,-2.5
Randolph-Macon,Hampden-Sydney,12,Hampden-Sydney -8.5,-8.5
Averett,Roanoke College,12,Roanoke College -26.0,-26.0
Wittenberg,Kenyon,12,Wittenberg -22.5,22.5
Ohio Wesleyan,Oberlin,12,Ohio Wesleyan -37.5,37.5
Hiram College,Grove City College,12,Grove City College -38.0,-38.0
Denison University,John Carroll University,12,John Carroll University -17.0,-17.0
Concordia-Wisconsin,Eureka College,12,Concordia-Wisconsin -44.5,44.5
Concordia University Chicago,Aurora,12,Aurora -28.5,-28.5
Hope College,Olivet College,12,Hope College -51.5,51.5
Albion,Calvin University,12,Calvin University -16.5,-16.5
Alma,Adrian,12,Alma -8.0,8.0
North Park,Wheaton,12,Wheaton -43.0,-43.0
Millikin,Elmhurst,12,Millikin -18.0,18.0
North Central College,Illinois Wesleyan,12,North Central College -38.5,38.5
Augustana (IL),Washington University (St. Louis),12,Washington University (St. Louis) -2.0,-2.0
Kean,Rowan,12,Rowan -29.5,-29.5
Husson,Maine Maritime,12,Husson -30.5,30.5
Southern Virginia,Lagrange College,12,Lagrange College -12.5,-12.5
Trine University,Kalamazoo,12,Trine University -17.5,17.5
Union (NY),Rensselaer,12,Rensselaer -11.0,-11.0
Hobart College,Buffalo State,12,Hobart College -23.0,23.0
Juniata College,Lycoming,12,Lycoming -27.5,-27.5
Franklin & Marshall,Johns Hopkins University,12,Johns Hopkins University -23.0,-23.0
Carson-Newman College,Greeneville,12,Carson-Newman College -29.5,29.5
Lenoir-Rhyne,Catawba,12,Lenoir-Rhyne -2.5,2.5
Lock Haven University,Gannon,12,Lock Haven University -13.5,13.5
Shippensburg,PennWest California,12,PennWest California -17.5,-17.5
Winona State,Southwest Minnesota State,12,Winona State -14.0,14.0
Concordia University St Paul,Sioux Falls,12,Sioux Falls -30.5,-30.5
Minnesota State Mankato,Minnesota State Moorhead,12,Minnesota State Mankato -7.5,7.5
Southern Connecticut State,Post University,12,Southern Connecticut State -5.0,5.0
West Virginia Wesleyan,Glenville State,12,Glenville State -29.5,-29.5
Nebraska-Kearney,Central Missouri,12,Nebraska-Kearney -5.5,5.5
Kentucky Wesleyan,Thomas More College,12,Thomas More College -9.5,-9.5
Northern Michigan,Wayne State (MI),12,Northern Michigan -7.5,7.5
Grand Valley State University,Roosevelt,12,Grand Valley State University -35.0,35.0
Southeastern Oklahoma State,East Central (OK),12,East Central (OK) -8.5,-8.5
Hillsdale,Ohio Dominican,12,Hillsdale -0.5,0.5
Alfred University,SUNY Morrisville,12,Alfred University -17.0,17.0
Ashland,Lake Erie,12,Ashland -34.0,34.0
Monmouth (IL),Knox College,12,Monmouth (IL) -60.0,60.0
Beloit,Illinois College,12,Illinois College -32.5,-32.5
Grinnell,Cornell College (IA),12,Cornell College (IA) -3.5,-3.5
Greensboro College,Methodist,12,Greensboro College -8.0,8.0
Case Western Reserve,Geneva,12,Case Western Reserve -16.5,16.5
Brevard College,North Carolina Wesleyan,12,Brevard College -8.5,8.5
Delaware State,Howard,12,Delaware State -9.0,9.0
Furman,VMI,12,Furman -13.0,13.0
Dartmouth,Cornell,12,Dartmouth -11.0,11.0
Hampton,William & Mary,12,William & Mary -20.5,-20.5
Maine,Rhode Island,12,Rhode Island -8.0,-8.0
Southwestern University,Berry College,12,Berry College -31.5,-31.5
Southern Illinois,South Dakota,12,Southern Illinois -1.5,1.5
Valparaiso,Stetson,12,Valparaiso -2.0,2.0
Georgetown,Fordham,12,Georgetown -7.5,7.5
Colgate,Lehigh,12,Lehigh -17.0,-17.0
Villanova,Stony Brook,12,Villanova -4.0,4.0
East Stroudsburg University,Clarion,12,East Stroudsburg University -6.5,6.5
Wabash College,Depauw,12,Wabash College -3.0,3.0
Baldwin Wallace,Heidelberg,12,Baldwin Wallace -17.0,17.0
University of Mount Union,Muskingum University,12,University of Mount Union -37.5,37.5
Wilmington (OH),Capital,12,Capital -2.5,-2.5
Manchester,Anderson (IN),12,Anderson (IN) -2.0,-2.0
Rose-Hulman,Mount St. Joseph,12,Mount St. Joseph -19.5,-19.5
Hanover College,Franklin,12,Hanover College -17.0,17.0
Kentucky,Tennessee Tech,12,Kentucky -5.0,5.0
Western New Mexico,Midwestern State,12,Midwestern State -16.0,-16.0
St. Scholastica,Bethel (MN),12,Bethel (MN) -41.0,-41.0
Benedictine University,Wisconsin-Lutheran,12,Benedictine University -12.5,12.5
Bridgewater (VA),Guilford College,12,Bridgewater (VA) -12.0,12.0
Belhaven,Huntingdon College (AL),12,Belhaven -5.5,5.5
Martin Luther,Minnesota Morris,12,Martin Luther -5.0,5.0
Lakeland,St. Norbert,12,St. Norbert -5.0,-5.0
Marietta,Bluffton,12,Marietta -13.0,13.0
Carthage,Carroll University (WI),12,Carthage -2.5,2.5
Rhodes College,Centre College Kentucky,12,Centre College Kentucky -17.5,-17.5
Wisconsin-Stout,Wisconsin-River Falls,12,Wisconsin-River Falls -26.5,-26.5
Wisconsin-Oshkosh,Wisconsin-Whitewater,12,Wisconsin-Whitewater -13.5,-13.5
Wisconsin-Stevens Pt,Wisconsin-Lacrosse,12,Wisconsin-Lacrosse -27.0,-27.0
Wisconsin-Eau Claire,Wisconsin-Platteville,12,Wisconsin-Platteville -29.5,-29.5
Brockport,Utica,12,Utica -4.0,-4.0
UVA Wise,Emory & Henry College,12,Emory & Henry College -26.5,-26.5
Fort Lewis,Colorado School Of Mines,12,Colorado School Of Mines -23.5,-23.5
South Dakota Mines,Adams State,12,South Dakota Mines -17.0,17.0
Wayne State (NE),Augustana University (SD),12,Augustana University (SD) -4.0,-4.0
Jamestown College,Northern State,12,Northern State -27.5,-27.5
Minot State,Minnesota Duluth,12,Minnesota Duluth -29.0,-29.0
Bemidji State,University of Mary,12,University of Mary -5.0,-5.0
Emporia State University,Fort Hays State,12,Fort Hays State -2.5,-2.5
Quincy,Southwest Baptist,12,Southwest Baptist -5.0,-5.0
Campbell,Elon,12,Elon -5.5,-5.5
Western Illinois,Southeast Missouri State,12,Southeast Missouri State -4.5,-4.5
Austin Peay,Samford,12,Austin Peay -28.5,28.5
West Georgia,Utah Tech,12,West Georgia -12.0,12.0
The Citadel,Wofford,12,Wofford -3.0,-3.0
Richmond,Lafayette,12,Lafayette -5.0,-5.0
Ouachita Baptist,Henderson State,12,Ouachita Baptist -7.0,7.0
Ferrum,Concord University,12,Concord University -3.0,-3.0
Hardin-Simmons,East Texas Baptist University,12,Hardin-Simmons -27.0,27.0
UT Martin,Charleston Southern,12,Charleston Southern -1.5,-1.5
Nebraska Wesleyan,Simpson College (IA),12,Simpson College (IA) -19.5,-19.5
Loras College,Luther,12,Loras College -21.0,21.0
Wartburg,Buena Vista,12,Wartburg -41.0,41.0
Central College,Coe College,12,Coe College -4.0,-4.0
Missouri Southern State,Washburn,12,Washburn -1.0,-1.0
West Alabama,Northeastern State,12,Northeastern State -9.5,-9.5
Millsaps,Sewanee,12,Millsaps -11.0,11.0
William Jewell,Lincoln (MO),12,William Jewell -6.0,6.0
Howard Payne,Mary Hardin-Baylor,12,Mary Hardin-Baylor -12.0,-12.0
Tennessee State,Gardner-Webb,12,Gardner-Webb -21.0,-21.0
Pittsburg St,Northwest Missouri St,12,Northwest Missouri St -3.0,-3.0
Arkansas Tech,Harding University,12,Harding University -22.0,-22.0
Western Colorado,Colorado Mesa,12,Western Colorado -17.0,17.0
CSU Pueblo,Chadron St,12,CSU Pueblo -5.0,5.0
Black Hills State,New Mexico Highlands,12,New Mexico Highlands -2.5,-2.5
Mercer,Chattanooga,12,Mercer -15.0,15.0
Lindenwood,Eastern Illinois,12,Lindenwood -4.0,4.0
Missouri Western,Central Oklahoma,12,Central Oklahoma -12.0,-12.0
Eastern New Mexico,Texas A&M-Kingsville,12,Texas A&M-Kingsville -12.0,-12.0
West Florida,Valdosta State,12,West Florida -12.0,12.0
Indianapolis,Upper Iowa University,12,Indianapolis -13.5,13.5
Eastern Kentucky,Abilene Christian,12,Abilene Christian -8.0,-8.0
Southern Nazarene,Oklahoma Baptist,12,Oklahoma Baptist -6.5,-6.5
Southern Arkansas,Arkansas-Monticello,12,Southern Arkansas -20.5,20.5
Wingate,Mars Hill,12,Wingate -17.5,17.5
Alabama A&M,Florida A&M,12,Alabama A&M -2.0,2.0
South Dakota State,Illinois State,12,South Dakota State -6.5,6.5
Incarnate Word,SE Louisiana,12,SE Louisiana -12.5,-12.5
Alcorn State,Grambling,12,Grambling -8.5,-8.5
New Mexico,Colorado State,12,New Mexico -10.5,10.5
North Dakota State,Northern Iowa,12,North Dakota State -37.5,37.5
Nevada,San José State,12,San José State -10.5,-10.5
Pacific (OR),Lewis & Clark College,12,Lewis & Clark College -8.0,-8.0
Linfield College,Willamette,12,Linfield College -37.0,37.0
McKendree,Truman State,12,Truman State -18.0,-18.0
Northwestern Oklahoma State,Southwestern Oklahoma State,12,Southwestern Oklahoma State -26.5,-26.5
San Diego,Butler,12,San Diego -5.5,5.5
Pacific Lutheran,NEWBERG,12,Pacific Lutheran -0.5,0.5
Whitworth,Puget Sound,12,Whitworth -32.0,32.0
Eastern Washington,Northern Colorado,12,Eastern Washington -0.5,0.5
Nicholls,Northwestern State,12,Nicholls -10.5,10.5
Northern Arizona,Cal Poly,12,Cal Poly -1.0,-1.0
Western Oregon,Central Washington,12,Central Washington -22.0,-22.0
Tennessee,New Mexico State,12,Tennessee -25.0,25.0
West Texas A&M,Angelo State,12,Angelo State -2.5,-2.5
East Texas A&M,Houston Christian,12,East Texas A&M -18.0,18.0
Idaho State,Weber State,12,Idaho State -4.5,4.5
Stephen F. Austin,Lamar,12,Stephen F. Austin -2.5,2.5
McNeese,UT Rio Grande Valley,12,UT Rio Grande Valley -9.5,-9.5
Tarleton State,North Alabama,12,Tarleton State -29.5,29.5
UNLV,Utah State,12,UNLV -2.5,2.5
UT Permian Basin,Sul Ross State,12,UT Permian Basin -43.0,43.0
Southern Utah,Central Arkansas,12,Southern Utah -11.5,11.5
Sacramento State,Idaho,12,Sacramento State -4.0,4.0
Washington State,Louisiana Tech,12,Washington State -1.0,1.0
San Diego State,Boise State,12,San Diego State -4.5,4.5
Montana State,UC Davis,12,Montana State -8.0,8.0
Northern Illinois,Western Michigan,13,Western Michigan -11.0,-11.0
Bowling Green,Akron,13,Bowling Green -3.0,3.0
Ohio,Massachusetts,13,Ohio -24.5,24.5
Buffalo,Miami (OH),13,Miami (OH) -4.5,-4.5
Kent State,Central Michigan,13,Central Michigan -4.5,-4.5
SE Louisiana,Nicholls,13,SE Louisiana -16.0,16.0
Northwestern State,Stephen F. Austin,13,Stephen F. Austin -25.5,-25.5
Arkansas State,Louisiana,13,Arkansas State -4.0,4.0
NC State,Florida State,13,Florida State -4.5,-4.5
UNLV,Hawai'i,13,Hawai'i -0.5,-0.5
Troy,Georgia State,13,Troy -12.0,12.0
Middle Tennessee,Sam Houston,13,Middle Tennessee -6.0,6.0
South Alabama,Southern Miss,13,Southern Miss -14.0,-14.0
Maryland,Michigan,13,Michigan -10.5,-10.5
Georgia Tech,Pittsburgh,13,Georgia Tech -0.5,0.5
Clemson,Furman,13,Clemson -27.0,27.0
Colorado,Arizona State,13,Arizona State -8.5,-8.5
UCF,Oklahoma State,13,UCF -11.0,11.0
Utah,Kansas State,13,Utah -14.0,14.0
Louisiana Tech,Liberty,13,Louisiana Tech -9.0,9.0
San Diego State,San José State,13,San Diego State -14.0,14.0
Georgia Southern,Old Dominion,13,Old Dominion -12.0,-12.0
UAB,South Florida,13,South Florida -24.5,-24.5
UTSA,East Carolina,13,East Carolina -10.0,-10.0
Temple,Tulane,13,Tulane -10.5,-10.5
Toledo,Ball State,13,Toledo -11.0,11.0
LSU,Western Kentucky,13,LSU -18.0,18.0
South Carolina,Coastal Carolina,13,South Carolina -7.5,7.5
Vanderbilt,Kentucky,13,Vanderbilt -14.0,14.0
Northwestern,Minnesota,13,Northwestern -1.5,1.5
UCLA,Washington,13,Washington -17.0,-17.0
Oregon,USC,13,Oregon -4.5,4.5
Ohio State,Rutgers,13,Ohio State -30.0,30.0
Iowa,Michigan State,13,Iowa -13.5,13.5
Cornell,Columbia,13,Cornell -5.5,5.5
Central Connecticut,Mercyhurst,13,Central Connecticut -5.0,5.0
James Madison,Washington State,13,James Madison -8.0,8.0
Long Island University,Wagner,13,Long Island University -5.5,5.5
SMU,Louisville,13,Louisville -4.0,-4.0
Boise State,Colorado State,13,Boise State -13.5,13.5
Rice,North Texas,13,North Texas -22.0,-22.0
Stanford,California,13,Stanford -0.5,0.5
Texas State,UL Monroe,13,Texas State -9.0,9.0
Wisconsin,Illinois,13,Illinois -18.5,-18.5
Florida,Tennessee,13,Tennessee -5.0,-5.0
Kennesaw State,Missouri State,13,Kennesaw State -10.5,10.5
North Carolina,Duke,13,Duke -17.0,-17.0
Penn State,Nebraska,13,Penn State -1.0,1.0
UTEP,New Mexico State,13,UTEP -0.5,0.5
Florida Atlantic,UConn,13,UConn -8.5,-8.5
Houston,TCU,13,TCU -4.0,-4.0
Texas,Arkansas,13,Texas -10.0,10.0
Cincinnati,BYU,13,BYU -10.0,-10.0
Arizona,Baylor,13,Arizona -8.5,8.5
App State,Marshall,13,Marshall -4.0,-4.0
Virginia Tech,Miami,13,Miami -22.0,-22.0
Prairie View A&M,Mississippi Valley State,13,Prairie View A&M -14.5,14.5
Iowa State,Kansas,13,Iowa State -6.5,6.5
Northern Colorado,Portland State,13,Northern Colorado -6.0,6.0
Wake Forest,Delaware,13,Wake Forest -16.5,16.5
Morgan State,North Carolina Central,13,North Carolina Central -19.0,-19.0
VMI,Western Carolina,13,Western Carolina -19.0,-19.0
Oklahoma,Missouri,13,Oklahoma -6.5,6.5
Texas A&M,Samford,13,Texas A&M -61.5,61.5
Merrimack,Fordham,13,Merrimack -10.5,10.5
Brown,Dartmouth,13,Dartmouth -7.0,-7.0
Army,Tulsa,13,Army -9.5,9.5
Yale,Harvard,13,Harvard -14.0,-14.0
Monmouth,UAlbany,13,Monmouth -28.0,28.0
Stony Brook,Bryant,13,Stony Brook -14.5,14.5
Lafayette,Lehigh,13,Lehigh -16.0,-16.0
Georgia,Charlotte,13,Georgia -41.5,41.5
Davidson,Dayton,13,Dayton -21.5,-21.5
East Tennessee State,The Citadel,13,East Tennessee State -6.5,6.5
Colgate,Bucknell,13,Colgate -9.5,9.5
Stonehill,St. Francis (PA),13,Stonehill -15.5,15.5
Towson,Campbell,13,Towson -7.0,7.0
Rhode Island,Hampton,13,Rhode Island -27.5,27.5
New Hampshire,Maine,13,New Hampshire -1.5,1.5
Drake,Morehead State,13,Drake -17.0,17.0
Holy Cross,Georgetown,13,Georgetown -0.5,-0.5
Stetson,San Diego,13,San Diego -25.5,-25.5
Tennessee Tech,UT Martin,13,Tennessee Tech -18.0,18.0
Villanova,Sacred Heart,13,Villanova -9.5,9.5
William & Mary,Richmond,13,William & Mary -5.0,5.0
Indiana State,Murray State,13,Indiana State -19.0,19.0
Butler,Valparaiso,13,Butler -18.0,18.0
Presbyterian,Marist,13,Presbyterian -10.5,10.5
Pennsylvania,Princeton,13,Pennsylvania -4.5,4.5
Delaware State,South Carolina State,13,South Carolina State -5.0,-5.0
Illinois State,Southern Illinois,13,Southern Illinois -3.0,-3.0
Gardner-Webb,Western Illinois,13,Gardner-Webb -12.0,12.0
Wofford,Chattanooga,13,Wofford -1.0,1.0
Auburn,Mercer,13,Auburn -13.0,13.0
Northern Iowa,Youngstown State,13,Youngstown State -11.5,-11.5
Elon,North Carolina A&T,13,Elon -16.5,16.5
Charleston Southern,Tennessee State,13,Charleston Southern -15.5,15.5
North Dakota,South Dakota State,13,North Dakota -5.0,5.0
Robert Morris,Duquesne,13,Duquesne -13.0,-13.0
Alabama,Eastern Illinois,13,Alabama -43.0,43.0
Southeast Missouri State,Lindenwood,13,Lindenwood -1.0,-1.0
Wyoming,Nevada,13,Wyoming -10.5,10.5
Montana,Montana State,13,Pick'em,0.0
North Alabama,Southern Utah,13,Southern Utah -16.5,-16.5
Weber State,Northern Arizona,13,Northern Arizona -7.0,-7.0
Alabama State,Arkansas-Pine Bluff,13,Alabama State -18.0,18.0
Houston Christian,Incarnate Word,13,Incarnate Word -16.5,-16.5
Texas Southern,Alabama A&M,13,Texas Southern -2.5,2.5
Notre Dame,Syracuse,13,Notre Dame -31.5,31.5
Florida International,Jacksonville State,13,Jacksonville State -3.0,-3.0
North Dakota State,St. Thomas (MN),13,North Dakota State -29.0,29.0
Florida A&M,Bethune-Cookman,13,Bethune-Cookman -12.5,-12.5
Howard,Norfolk State,13,Howard -6.5,6.5
Alcorn State,Jackson State,13,Jackson State -15.5,-15.5
Utah Tech,Eastern Kentucky,13,Eastern Kentucky -5.5,-5.5
Idaho,Idaho State,13,Idaho -3.0,3.0
UC Davis,Sacramento State,13,UC Davis -5.5,5.5
Lamar,McNeese,13,Lamar -18.5,18.5
Tarleton State,Austin Peay,13,Tarleton State -15.5,15.5
Central Arkansas,Abilene Christian,13,Abilene Christian -10.0,-10.0
Cal Poly,Eastern Washington,13,Cal Poly -7.0,7.0
UT Rio Grande Valley,East Texas A&M,13,East Texas A&M -2.0,-2.0
Air Force,New Mexico,13,New Mexico -10.5,-10.5
Fresno State,Utah State,13,Utah State -0.5,-0.5
Eastern Michigan,Western Michigan,14,Western Michigan -15.0,-15.0
Massachusetts,Bowling Green,14,Bowling Green -14.5,-14.5
Alabama State,Tuskegee,14,Alabama State -33.0,33.0
Memphis,Navy,14,Memphis -10.0,10.0
Arizona State,Arizona,14,Arizona -1.0,-1.0
Nebraska,Iowa,14,Iowa -6.5,-6.5
Mississippi State,Ole Miss,14,Ole Miss -9.5,-9.5
Kansas,Utah,14,Utah -20.0,-20.0
Buffalo,Ohio,14,Ohio -9.5,-9.5
Northern Illinois,Kent State,14,Kent State -3.0,-3.0
Colorado State,Air Force,14,Pick'em,0.0
Georgia Tech,Georgia,14,Georgia -7.0,-7.0
New Mexico,San Diego State,14,San Diego State -8.0,-8.0
North Texas,Temple,14,North Texas -15.5,15.5
Utah State,Boise State,14,Boise State -8.5,-8.5
Texas,Texas A&M,14,Texas A&M -11.0,-11.0
Purdue,Indiana,14,Indiana -29.5,-29.5
Michigan State,Maryland,14,Maryland -4.0,-4.0
UTSA,Army,14,UTSA -0.5,0.5
NC State,North Carolina,14,NC State -15.0,15.0
Pittsburgh,Miami,14,Miami -8.0,-8.0
Duke,Wake Forest,14,Duke -3.0,3.0
California,SMU,14,SMU -14.5,-14.5
Syracuse,Boston College,14,Syracuse -4.0,4.0
Sam Houston,Florida International,14,Florida International -11.5,-11.5
South Florida,Rice,14,South Florida -23.5,23.5
Oklahoma State,Iowa State,14,Iowa State -22.0,-22.0
TCU,Cincinnati,14,TCU -4.0,4.0
Arkansas,Missouri,14,Missouri -7.5,-7.5
Jacksonville State,Western Kentucky,14,Western Kentucky -3.5,-3.5
Tennessee,Vanderbilt,14,Vanderbilt -3.0,-3.0
Auburn,Alabama,14,Alabama -9.5,-9.5
Oklahoma,LSU,14,Oklahoma -4.5,4.5
Louisville,Kentucky,14,Louisville -14.0,14.0
Florida,Florida State,14,Florida State -4.5,-4.5
Washington,Oregon,14,Oregon -4.5,-4.5
Kansas State,Colorado,14,Kansas State -6.5,6.5
BYU,UCF,14,BYU -20.5,20.5
Baylor,Houston,14,Houston -5.5,-5.5
Virginia,Virginia Tech,14,Virginia -14.5,14.5
Florida Atlantic,East Carolina,14,East Carolina -22.5,-22.5
Illinois,Northwestern,14,Illinois -11.0,11.0
Rutgers,Penn State,14,Penn State -10.0,-10.0
Minnesota,Wisconsin,14,Minnesota -6.0,6.0
Coastal Carolina,James Madison,14,James Madison -15.0,-15.0
New Mexico State,Middle Tennessee,14,New Mexico State -4.0,4.0
Tulane,Charlotte,14,Tulane -29.0,29.0
Missouri State,Louisiana Tech,14,Louisiana Tech -8.0,-8.0
Delaware,UTEP,14,Delaware -2.0,2.0
West Virginia,Texas Tech,14,Texas Tech -24.0,-24.0
USC,UCLA,14,USC -17.0,17.0
Stanford,Notre Dame,14,Notre Dame -27.5,-27.5
Tulsa,UAB,14,Tulsa -3.0,3.0
Texas State,South Alabama,14,Texas State -5.0,5.0
Southern Miss,Troy,14,Southern Miss -6.0,6.0
Louisiana,UL Monroe,14,Louisiana -5.5,5.5
Old Dominion,Georgia State,14,Old Dominion -20.0,20.0
San José State,Fresno State,14,Fresno State -0.5,-0.5
App State,Arkansas State,14,Arkansas State -1.0,-1.0
Marshall,Georgia Southern,14,Marshall -5.0,5.0
Miami (OH),Ball State,14,Miami (OH) -7.5,7.5
Central Michigan,Toledo,14,Toledo -3.5,-3.5
Michigan,Ohio State,14,Ohio State -13.5,-13.5
South Carolina,Clemson,14,Clemson -2.0,-2.0
Southern,Grambling,14,Grambling -19.5,-19.5
Mississippi Valley State,Florida A&M,14,Florida A&M -3.5,-3.5
Liberty,Kennesaw State,14,Kennesaw State -11.5,-11.5
Washington State,Oregon State,14,Washington State -10.5,10.5
Nevada,UNLV,14,UNLV -13.5,-13.5
Hawai'i,Wyoming,14,Hawai'i -4.0,4.0
Navy,Army,16,Army -0.5,-0.5
